,counts.CD8T,counts.CD4T,counts.NK,counts.Bcell,counts.Mono,counts.Neu
GSM1051551_7800246087_R03C01,0.047215008807403,0.139749037485046,0.201705874437834,0.00256228343679027,0.0855397783564986,0.5198235644746261
GSM1051552_7800246087_R04C01,0.0023154018921552303,0.0921117392911862,0.0392590050035297,0.0689617803215096,0.0658382045708054,0.727164032437152
GSM1051553_7800246087_R05C01,0.165732524136559,0.0761531046568834,0.112911557136334,0.0461490422602828,0.0670175480039725,0.5495528313105779
GSM1051554_7800246087_R06C01,-2.1154102783774396e-19,4.960977358373099e-20,-1.34204227413685e-18,0.027888228064563,0.0230650831866095,0.955027948924521
GSM1051555_7800246087_R01C02,0.0776025575612282,0.10663524372197401,0.0914930384735994,0.0737693102719388,0.0923290263572803,0.55101693172777
GSM1051556_7800246087_R02C02,0.0627152047831555,0.25634619405985604,0.0802614714050191,0.0849157931503218,0.0462831041506375,0.458566652672474
GSM1051557_7800246087_R03C02,0.042677702342568,0.173393267935459,0.0454334612868005,0.041908326952947994,0.0506892617273892,0.6430923878221939
GSM1051558_7800246087_R04C02,0.0651984341790003,0.20987262764190498,0.0804197340576068,0.0448364803980793,0.0102411104745045,0.5740364723122161
GSM1051559_7800246087_R05C02,0.11751730271888301,0.156275546851849,0.0933917273846884,0.0837615137631906,0.0882580628928396,0.4670558086009579
GSM1051560_7800246087_R06C02,0.0380160683913632,0.0861550243279816,0.020787556516590998,0.0703494271340311,0.062800071554552,0.7195660731088421
GSM1051561_7800246123_R01C01,1.4187958994267199e-18,0.126399275806651,0.0368315083033536,0.0573163228590923,0.0609915469941943,0.721448621330634
GSM1051562_7800246123_R02C01,0.00741337774273623,0.143597046170811,0.12273367184049198,0.0284282136440013,0.031772665013014,0.6589070599041321
GSM1051563_7800246123_R03C01,0.18903751412827105,0.0752164554758689,0.09095442923742698,0.0482478427531386,0.0600347959637355,0.538790268731128
GSM1051564_7800246123_R04C01,0.0587760398518699,0.0885431939540777,0.121754878531234,0.0294049991071134,0.0449881504790055,0.6549932615166191
GSM1051565_7800246123_R05C01,0.17832588202440197,0.13022121537908998,0.0515700496182407,0.0357276684727045,0.0338424136150814,0.562707326779973
GSM1051566_7800246123_R06C01,0.07328708425479301,0.167707576866866,0.0429107286607808,0.0319071592121832,0.0361515148879215,0.6423038991001789
GSM1051567_7800246123_R01C02,0.125643171432773,0.14746565749996998,0.04625518230877901,0.0811885049134682,0.0150923382939598,0.5876258273462309
GSM1051568_7800246123_R02C02,0.0788418378721616,0.163503854737017,0.157622148292311,0.0601696188349301,0.0422933565615905,0.49519299775414505
GSM1051569_7800246123_R03C02,0.0778378381270085,0.0242025371437597,0.11317102480995898,0.0249400972151223,0.0578534080821245,0.702644174032059
GSM1051570_7800246123_R04C02,0.0685164943478995,0.144146900271603,0.0740358795515631,0.0292587200972776,0.0511835955571194,0.6342316806771451
GSM1051571_7800246123_R05C02,0.0470890992658053,0.19879343483179202,0.0084878577492126,0.04670828614258599,0.0543605404621212,0.6350370473059991
GSM1051572_7800246123_R06C02,0.200055333491797,0.17308228087709301,0.0887282859483064,0.0820029164638529,0.0253022810160023,0.429657547262257
GSM1051573_7800246132_R01C01,0.00489496083409863,0.0882584358243886,0.10622625150667998,0.0366300697323764,0.0786752341903396,0.671870671017081
GSM1051574_7800246132_R02C01,0.0565434690387048,0.149465291114963,0.0390419593420473,0.0607265726683181,0.0167934465840304,0.66659438602565
GSM1051575_7800246132_R04C01,0.0963486511094344,0.11640333076911999,0.104545627067042,0.0320092253452367,0.0433774054696688,0.6123147418068859
GSM1051576_7800246132_R05C01,0.0898879218431582,0.0964149824909447,0.0546756429462862,0.0411852986079965,0.031917687861918,0.687386904214442
GSM1051577_7800246132_R06C01,0.0655115151728163,0.0854639838676804,0.0366569759221627,0.0564650032865957,0.0586128982664864,0.699366257604175
GSM1051578_7800246132_R01C02,0.0501989784047427,0.21025030307169396,0.0358630616195993,0.0713224106261412,0.0286136666454842,0.5957775820505551
GSM1051579_7800246132_R02C02,0.0783900507737623,0.0662766418179858,0.0640838242566024,0.0362018947748368,0.0428161368638707,0.703942345582049
GSM1051580_7800246132_R03C02,0.0508723354685149,0.120631650012827,0.0445509082975008,0.0748490118157391,0.0227735449805112,0.682210766007456
GSM1051581_7800246132_R04C02,0.053637236734392,0.194702775092578,0.166832160181443,0.030053524600808998,0.0282187178586656,0.523592436134018
GSM1051582_7800246132_R05C02,0.0412211261561756,0.0738280271656178,0.146919255953866,0.0351076972392659,0.0429398001415597,0.664246713335355
GSM1051583_7800246132_R06C02,0.0823147844890608,0.143451195060714,0.176686243791645,0.0422465160817378,0.019783118121454,0.538916072496066
GSM1051584_7800246137_R01C01,0.0954513456051367,0.11579631875795901,0.158360056193733,0.0804858769857696,0.0614216987285294,0.512077903766038
GSM1051585_7800246137_R02C01,0.0690097232596331,0.10116883857709101,0.0916543857679058,0.0302328645141128,0.04855154945674401,0.66249376177432
GSM1051586_7800246137_R03C01,0.10163071417353801,0.0632786797743889,0.11883629262071302,0.0509449830470765,0.0521139626836795,0.61323024286959
GSM1051587_7800246137_R04C01,0.0483714961654939,0.131345362557088,0.11015058178004801,0.0173270234074506,0.0540044846577259,0.6331473177041739
GSM1051588_7800246137_R05C01,0.0466459340483328,0.24013219684411605,0.0905050855352509,0.0560148801909536,0.0203950318591443,0.547722012190822
GSM1051589_7800246137_R06C01,0.0374033731772163,0.080003484025174,0.0835307056445732,0.0163469475351453,0.0805321089320652,0.6949660289094891
GSM1051590_7800246137_R02C02,0.10672001129533099,0.18958447033756898,0.0426214929508571,0.068809162263968,0.036164587624655,0.562734949792879
GSM1051591_7800246137_R03C02,0.063160569068765,0.0977846194034177,0.0042906124991587,0.0560890848697709,0.0556064416079975,0.71472216544684
GSM1051592_7800246137_R04C02,0.143882327810738,0.143548184399184,0.0641921722255643,0.0393216326588107,0.0583883271580124,0.544459121756382
GSM1051593_7800246137_R05C02,0.0770249256386535,0.103232169551196,0.16238675060659802,0.0554127592803735,0.0712537236920123,0.531953649818111
